threshold,TP,FP,TN,FN,accuracy,precision,recall,specificity,f1
0.2,84,79,452,15,0.8507936507936508,0.5153374233128835,0.8484848484848485,0.8512241054613936,0.6412213740458015
0.3,77,45,486,22,0.8936507936507937,0.6311475409836066,0.7777777777777778,0.9152542372881356,0.6968325791855203
0.4,58,27,504,41,0.8920634920634921,0.6823529411764706,0.5858585858585859,0.9491525423728814,0.6304347826086957
0.5,42,9,522,57,0.8952380952380953,0.8235294117647058,0.42424242424242425,0.9830508474576272,0.56
